State,Dem % of Votes,Gop % of Votes,Dem % of Seats,Gop % of Seats,Dem Wins,Gop Wins
Alabama,0.335135361,0.664864639,0,1,0,6
Arizona,0.486797107,0.504082289,0.5,0.5,4,4
Arkansas,0.351484437,0.626454701,0,1,0,4
California,0.598338531,0.341865879,0.829787234,0.170212766,39,8
Colorado,0.515591161,0.451880194,0.571428571,0.428571429,4,3
Connecticut,0.610293031,0.382301281,1,0,5,0
Florida,0.454321438,0.540132056,0.363636364,0.636363636,8,14
Georgia,0.461431998,0.538568002,0.3,0.7,3,7
Illinois,0.601445149,0.392965716,0.722222222,0.277777778,13,5
Indiana,0.428339575,0.56832598,0.222222222,0.777777778,2,7
Iowa,0.504102732,0.466383228,0.75,0.25,3,1
Kansas,0.438907987,0.53945258,0.25,0.75,1,3
Kentucky,0.390464083,0.595861044,0.166666667,0.833333333,1,5
Louisiana,0.252155394,0.478488519,0.166666667,0.833333333,1,5
Maryland,0.646715725,0.330057954,0.875,0.125,7,1
Massachusetts,0.66018937,0.323673571,1,0,5,0
Michigan,0.519800717,0.450914164,0.5,0.5,7,7
Minnesota,0.552192436,0.437491862,0.625,0.375,5,3
Mississippi,0.421046519,0.505658444,0.25,0.75,1,3
Missouri,0.424546142,0.550888914,0.25,0.75,2,6
Nebraska,0.375867291,0.624132709,0,1,0,3
Nevada,0.511116,0.457928065,0.75,0.25,3,1
New Jersey,0.589743958,0.39622679,0.909090909,0.090909091,10,1
New York,0.646658538,0.33670661,0.76,0.24,19,6
North Carolina,0.508753126,0.478072647,0.272727273,0.727272727,3,8
Ohio,0.47006204,0.522741945,0.25,0.75,4,12
Oklahoma,0.36340771,0.619754477,0.2,0.8,1,4
Oregon,0.56896938,0.389593408,0.8,0.2,4,1
Pennsylvania,0.526382631,0.471277967,0.470588235,0.529411765,8,9
South Carolina,0.442178888,0.545136622,0.285714286,0.714285714,2,5
Tennessee,0.391804256,0.592607316,0.222222222,0.777777778,2,7
Texas,0.469744997,0.504108407,0.371428571,0.628571429,13,22
Utah,0.355462686,0.58901767,0,1,0,3
Virginia,0.538519676,0.45700432,0.6,0.4,6,4
Washington,0.567911296,0.346850603,0.75,0.25,6,2
West Virginia,0.405065581,0.58412657,0,1,0,3
Wisconsin,0.469902655,0.520497439,0.285714286,0.714285714,2,5
